name,city,state,size_tier,employee_count,cpa_com_id,cpa_affiliation_tier,website,linkedin_url
Whitfield & Marsh LLP,Dallas,TX,Regional,120,CPA-1001,investor-portfolio,,
Sterling Advisory Group,Chicago,IL,National,340,CPA-1002,preferred-vendor
Kessler & Boone CPAs,Atlanta,GA,Local,28,CPA-1003,program-participant
Ashcroft Partners,Boston,MA,Regional,95,CPA-1004,
Callahan Financial,Denver,CO,Local,22,CPA-1005,
Dunmore & Ellsworth,Seattle,WA,Regional,150,CPA-1006,preferred-vendor
Farrow Group,Phoenix,AZ,Local,35,CPA-1007,
Granger & Associates,Charlotte,NC,National,410,CPA-1008,investor-portfolio
Holbrook CPAs,Columbus,OH,Local,18,CPA-1009,
Ingram Advisory,Tampa,FL,Regional,88,CPA-1010,
Merriam & Co.,Albany,NY,Local,26,CPA-1011,program-participant
Norcross Partners,Pittsburgh,PA,Regional,132,CPA-1012,
Osgood Financial,Richmond,VA,Local,31,CPA-1013,
Prewitt & Holbrook LLP,San Jose,CA,National,275,CPA-1014,preferred-vendor
Radcliffe Group,Detroit,MI,Regional,105,CPA-1015,
